dataset,granularity,family,model,fold,method,axis,quartile,ece,n_rows,n_students,ece_overall,selected_on_outcome
algebra2005,question,deep,dkt,0,isotonic,history,0,0.01784116540104612,12493,57,0.008037407517165068,False
algebra2005,question,deep,dkt,0,isotonic,history,1,0.007531420058825886,79312,57,0.008037407517165068,False
algebra2005,question,deep,dkt,0,temperature,history,0,0.03214186964541367,12493,57,0.022360755990688944,False
algebra2005,question,deep,dkt,0,temperature,history,1,0.020820062868734,79312,57,0.022360755990688944,False
algebra2005,question,deep,dkt,0,none,rt,0,0.020265975205829626,52835,57,0.018086310113828327,False
algebra2005,question,deep,dkt,0,none,rt,1,0.017606489607390304,38970,57,0.018086310113828327,False
algebra2005,question,deep,dkt,0,platt,rt,0,0.012010706817931626,52835,57,0.007970906446294062,False
algebra2005,question,deep,dkt,0,platt,rt,1,0.0036415218280240295,38970,57,0.007970906446294062,False
algebra2005,question,deep,dkt,0,isotonic,rt,0,0.012583019704535155,52835,57,0.008037407517165068,False
algebra2005,question,deep,dkt,0,isotonic,rt,1,0.0042150234955075664,38970,57,0.008037407517165068,False
algebra2005,question,deep,dkt,0,temperature,rt,0,0.025399383307701005,52835,57,0.022360755990688944,False
algebra2005,question,deep,dkt,0,temperature,rt,1,0.018241026088345123,38970,57,0.022360755990688944,False
algebra2005,question,deep,sakt,0,none,ability_prefix5,0,0.06428070823000169,34678,37,0.05896521677943179,False
algebra2005,question,deep,sakt,0,none,ability_prefix5,1,0.05668559023866045,57697,77,0.05896521677943179,False
algebra2005,question,deep,sakt,0,platt,ability_prefix5,0,0.01280792299394119,34678,37,0.013990358994754384,False
algebra2005,question,deep,sakt,0,platt,ability_prefix5,1,0.01835398698488281,57697,77,0.013990358994754384,False
algebra2005,question,deep,sakt,0,isotonic,ability_prefix5,0,0.005572440806422752,34678,37,0.009302297697950063,False
algebra2005,question,deep,sakt,0,isotonic,ability_prefix5,1,0.01685685379448004,57697,77,0.009302297697950063,False
algebra2005,question,deep,sakt,0,temperature,ability_prefix5,0,0.01098536866666925,34678,37,0.017829364323048765,False
algebra2005,question,deep,sakt,0,temperature,ability_prefix5,1,0.02499077415239453,57697,77,0.017829364323048765,False
algebra2005,question,deep,sakt,0,none,ability_prefix10,0,0.06282428602278255,37046,41,0.05891808289308845,False
